canonical,kind,aliases,definition,notes
Neubrutalism,style,"Neo-Brutalism;Neo Brutalism;Neo-Brutalist;Neubrutalist;neo brutalism;neo-brutalism;neobrutalism","Contemporary web/UI style using bold outlines, hard shadows, loud blocks, playful anti-polish, and high-contrast color.",Use for modern colorful UI brutalism. Do not collapse with historical/raw Brutalism when the distinction matters.
Brutalism,style,"Brutalist;brutalist;brutalism;raw brutalism","Raw anti-design style using stark structure, visible borders, default/plain type, asymmetry, and intentional roughness.",Use for harsher/raw editorial or experimental interfaces.
Minimalism,style,"Minimalist;minimalist;minimal;Swiss Style;Minimalism & Swiss Style","Reduction-focused design using whitespace, strong hierarchy, grid, restraint, and only essential elements.",Use Minimalism as broad canonical term; Swiss Style is a subtype/reference.
Glassmorphism,style,"glassmorphism;Glass;Glass / Aurora;frosted glass","Frosted translucent surfaces with blur, layered depth, subtle borders, and luminous backgrounds.",Check contrast and blur fallback.
Neumorphism,style,"neumorphism;Soft UI","Soft extruded interface style with subtle convex/concave surfaces and low-contrast shadows.",Use cautiously because accessibility can suffer.
Claymorphism,style,"claymorphism;clay;soft 3D;chunky UI","Playful soft 3D style with rounded inflated forms, thick surfaces, pastel volume, and tactile feedback.",Good for education/onboarding/playful consumer UI.
Aurora UI,style,"Aurora;aurora;Gradient Mesh;Gradient Mesh / Aurora Evolved;Glass Aurora","Atmospheric gradient style using mesh/aurora color fields, glow, and soft luminous transitions.","Use as visual atmosphere, not a substitute for hierarchy."
Cyberpunk UI,style,"Cyberpunk;cyberpunk;neon HUD;HUD;terminal neon","Dark high-contrast sci-fi style with neon accents, HUD lines, mono/data typography, and glitch/signal motifs.",Use sparingly for serious finance/health/public UI.
Retro-Futurism,style,"Retro Futurism;retro-futurism;retrofuturism;retrofuture","Vintage sci-fi design language combining nostalgic space-age references with futuristic forms.",Keep hyphenated canonical form.
Organic Biophilic,style,"Organic / Biophilic;Nature Biophilic;biophilic;organic biophilic","Nature-informed UI using earth palettes, organic geometry, botanical motifs, and calm spatial rhythm.",Avoid muddy hierarchy.
Soft UI Evolution,style,"Soft UI;soft ui evolution;evolved neumorphism","Accessible evolution of soft UI with better contrast, modern shadows, and clearer focus states.",Prefer over pure Neumorphism for production UI.
Flat Design,style,"flat design;Flat;flat UI","Two-dimensional style using solid colors, clean icons, minimal depth, and fast functional surfaces.",Works well for utilitarian and cross-platform UI.
Dark Mode (OLED),style,"OLED dark;dark mode oled;Dark OLED;OLED Mode","Dark interface optimized for OLED and low-light use, using deep surfaces and high-contrast foregrounds.",Reserve glow/saturated accents for status and focus.
Duotone,visual-treatment,"duotone;two-tone;two color;two-color","Two-color treatment for icons, imagery, or illustration, usually primary plus secondary tone.",Good for marketing and feature visuals.
Design Tokens,system,"tokens;design tokens;token system","Named reusable design values organized as primitive, semantic, and component decisions.","Use for consistency, theming, and maintainable variants."
Semantic Tokens,system,"semantic token;semantic tokens","Purpose-based token aliases such as background, foreground, primary, danger, focus.",Preferred theming layer.
Component Tokens,system,"component token;component tokens","Component-specific token contracts such as button background, input border, card radius.",Use for repeated component behavior and state contracts.
Art Direction,process,"visual direction;design direction;aesthetic direction","Coherent visual concept expressed through type, color, composition, material, and motion.",Primary antidote to generic UI.
Production Handoff,process,"handoff;asset handoff;release handoff","Final packaging of code/assets/specs with naming, metadata, accessibility, dimensions, and approval notes.",Use when producing deliverables beyond code.
